Date,Open,High,Low,Close,Adj Close,Volume
2017-05-25,153.729996,154.350006,153.029999,153.869995,152.719101,19235600
2017-05-26,154.000000,154.240005,153.309998,153.610001,152.461060,21701100
2017-05-30,153.419998,154.429993,153.330002,153.669998,152.520599,20126900
2017-05-31,153.970001,154.169998,152.380005,152.759995,151.617416,24451200
2017-06-01,153.169998,153.330002,152.220001,153.179993,152.034271,16404100
2017-06-02,153.580002,155.449997,152.889999,155.449997,154.287292,27770700
2017-06-05,154.339996,154.449997,153.460007,153.929993,152.778656,25331700
2017-06-06,153.899994,155.809998,153.779999,154.449997,153.294785,26624900
2017-06-07,155.020004,155.979996,154.479996,155.369995,154.207901,21069600
2017-06-08,155.250000,155.539993,154.399994,154.990005,153.830734,21250800
2017-06-09,155.190002,155.190002,146.020004,148.979996,147.865692,64882700
2017-06-12,145.740005,146.089996,142.509995,145.419998,144.332306,72307300
2017-06-13,147.160004,147.449997,145.149994,146.589996,145.493561,34165400
2017-06-14,147.500000,147.500000,143.839996,145.160004,144.074265,31531200
2017-06-15,143.320007,144.479996,142.210007,144.289993,143.210754,32165400
2017-06-16,143.779999,144.500000,142.199997,142.270004,141.205887,50361100
2017-06-19,143.660004,146.740005,143.660004,146.339996,145.245438,32541400
2017-06-20,146.869995,146.869995,144.940002,145.009995,143.925369,24900100
2017-06-21,145.520004,146.070007,144.610001,145.869995,144.778946,21265800
2017-06-22,145.770004,146.699997,145.119995,145.630005,144.540756,19106300
2017-06-23,145.130005,147.160004,145.110001,146.279999,145.185883,35439400
2017-06-26,147.169998,148.279999,145.380005,145.820007,144.729340,25692400
2017-06-27,145.009995,146.160004,143.619995,143.729996,142.654953,24761900
2017-06-28,144.490005,146.110001,143.160004,145.830002,144.739243,22082400
2017-06-29,144.710007,145.130005,142.279999,143.679993,142.605316,31499400
